,count,mean,std,min,25%,50%,75%,max
Having_IP_Address,11055.0,0.3137946630483944,0.9495338154105023,-1.0,-1.0,1.0,1.0,1.0
URL_Length,11055.0,-0.6331976481230213,0.7660953979620078,-1.0,-1.0,-1.0,-1.0,1.0
Shortining_Service,11055.0,0.7387607417458164,0.6739982630539331,-1.0,1.0,1.0,1.0,1.0
Having_At_Symbol,11055.0,0.7005879692446857,0.7135983183811665,-1.0,1.0,1.0,1.0,1.0
Double_slash_redirecting,11055.0,0.7414744459520579,0.6710114564997811,-1.0,1.0,1.0,1.0,1.0
Prefix_Suffix,11055.0,-0.7349615558570782,0.6781394473596136,-1.0,-1.0,-1.0,-1.0,1.0
Having_Sub_Domain,11055.0,0.06395296246042514,0.8175181463585893,-1.0,-1.0,0.0,1.0,1.0
SSLfinal_State,11055.0,0.25092718227046584,0.9118923591753679,-1.0,-1.0,1.0,1.0,1.0
Domain_registeraton_length,11055.0,-0.3367706919945726,0.9416292826596159,-1.0,-1.0,-1.0,1.0,1.0
Favicon,11055.0,0.6285843509724107,0.777776596672149,-1.0,1.0,1.0,1.0,1.0
Port,11055.0,0.7282677521483492,0.6853236942493118,-1.0,1.0,1.0,1.0,1.0
HTTPS_token,11055.0,0.6750791497060153,0.7377786787677499,-1.0,1.0,1.0,1.0,1.0
Request_URL,11055.0,0.18679330619629128,0.9824436723137832,-1.0,-1.0,1.0,1.0,1.0
URL_of_Anchor,11055.0,-0.07652645861601086,0.7151377380903513,-1.0,-1.0,0.0,0.0,1.0
Links_in_tags,11055.0,-0.11813658977838082,0.7639726486372603,-1.0,-1.0,0.0,0.0,1.0
SFH,11055.0,-0.5957485300768883,0.759143062257318,-1.0,-1.0,-1.0,-1.0,1.0
Submitting_to_email,11055.0,0.6356399819086386,0.772020548352602,-1.0,1.0,1.0,1.0,1.0
Abnormal_URL,11055.0,0.7052917232021709,0.7089492574170447,-1.0,1.0,1.0,1.0,1.0
Redirect,11055.0,0.11569425599276345,0.31987239723726807,0.0,0.0,0.0,0.0,1.0
On_mouseover,11055.0,0.7620985979194934,0.6474902705763729,-1.0,1.0,1.0,1.0,1.0
RightClick,11055.0,0.9138851198552691,0.40599125311131107,-1.0,1.0,1.0,1.0,1.0
PopUpWidnow,11055.0,0.6133876074174581,0.7898177455051338,-1.0,1.0,1.0,1.0,1.0
Iframe,11055.0,0.8169154228855722,0.5767835685572013,-1.0,1.0,1.0,1.0,1.0
Age_of_domain,11055.0,0.06123925825418363,0.9981682618538636,-1.0,-1.0,1.0,1.0,1.0
DNSRecord,11055.0,0.37711442786069654,0.9262085660283964,-1.0,-1.0,1.0,1.0,1.0
Web_traffic,11055.0,0.2872908186341022,0.8277333051554,-1.0,0.0,1.0,1.0,1.0
Page_Rank,11055.0,-0.4836725463591135,0.8752886207345169,-1.0,-1.0,-1.0,1.0,1.0
Google_Index,11055.0,0.7215739484396201,0.6923686876302627,-1.0,1.0,1.0,1.0,1.0
Links_pointing_to_page,11055.0,0.34400723654454995,0.569944121593365,-1.0,0.0,0.0,1.0,1.0
Statistical_report,11055.0,0.7195838986883764,0.6944369192930238,-1.0,1.0,1.0,1.0,1.0
Result,11055.0,0.11388511985526911,0.9935388624261354,-1.0,-1.0,1.0,1.0,1.0
